시도,시군구,발생년도,2014년,2014년,2015년,2015년,2016년,2016년,2017년,2017년,2018년,2018년
시도,시군구,발생년도,65-70세,71세이상,65-70세,71세이상,65-70세,71세이상,65-70세,71세이상,65-70세,71세이상
강원,원주시,사망자수,4,2,4,5,1,2,3,5,1,0
강원,원주시,부상자수,161,144,163,187,158,193,245,183,255,180
강원,동해시,사고건수,30,30,51,23,33,29,27,35,34,32
강원,동해시,사망자수,1,1,2,0,0,1,0,1,0,1
강원,동해시,부상자수,50,46,86,36,60,45,37,43,47,42
강원,강릉시,사고건수,72,56,70,62,65,64,67,72,81,86
강원,강릉시,사망자수,2,3,1,4,2,0,3,2,2,6
강원,강릉시,부상자수,100,78,110,86,125,93,97,107,123,125
강원,속초시,사고건수,21,21,29,26,28,26,27,25,26,34
강원,속초시,사망자수,0,0,0,0,1,3,0,1,1,0
강원,속초시,부상자수,28,28,56,44,47,31,46,40,43,58
강원,태백시,사고건수,17,8,19,19,28,22,20,15,21,19
강원,태백시,사망자수,2,0,2,0,0,0,0,0,3,1
강원,태백시,부상자수,28,16,22,35,52,34,30,23,31,25
강원,삼척시,사고건수,32,19,28,36,34,43,32,40,41,46
강원,삼척시,사망자수,2,1,0,0,1,1,0,3,1,2
강원,삼척시,부상자수,48,33,53,75,51,83,49,69,63,66
강원,홍천군,사고건수,24,19,29,15,27,36,31,27,32,36
강원,홍천군,사망자수,1,2,2,2,1,2,3,2,0,4
강원,홍천군,부상자수,40,30,42,23,31,54,47,36,46,53
강원,횡성군,사고건수,12,12,14,21,20,23,15,15,14,17
강원,횡성군,사망자수,0,2,1,3,0,1,1,0,1,4
강원,횡성군,부상자수,28,15,24,35,36,32,41,27,26,15
강원,영월군,사고건수,17,11,10,15,12,22,16,17,21,24
강원,영월군,사망자수,2,0,2,1,1,2,0,0,2,2
강원,영월군,부상자수,20,17,13,24,22,34,22,28,41,40
강원,평창군,사고건수,16,17,7,12,15,28,21,27,8,28
강원,평창군,사망자수,0,4,1,0,0,0,1,4,1,1
강원,평창군,부상자수,34,47,12,19,29,48,54,52,18,46
강원,정선군,사고건수,11,6,20,3,7,14,16,8,12,8
강원,정선군,사망자수,1,0,1,0,0,5,0,1,1,2
